,Name,Position,Height,Weight,Academic,High School,Year,Sport,College,Hometown,State,College (in univeristy)
3950,Bianca Ribi,F,5-8,,Sr.,Masters Academy,2017,womens-soccer,Dartmouth,Calgary,Alberta,
3951,Bonnie Shea,D,5-7,,Fr.,North Atlanta,2017,womens-soccer,Dartmouth,Atlanta,georgia,
3952,Gia Parker,MF,5-5,,Sr.,The Williston Northampton School,2017,womens-soccer,Dartmouth,Amherst,massachusetts,
3953,Charlotte Esty,F,5-4,,So.,Pingree School,2017,womens-soccer,Dartmouth,Newbury,massachusetts,
3954,Zoe Enright,F,5-6,,So.,Menlo School,2017,womens-soccer,Dartmouth,Hillsborough,california,
3955,Chloe Conacher,D,5-11,,Jr.,Marin,2017,womens-soccer,Dartmouth,Ross,california,
3956,Remy Borinsky,MF,5-8,,Jr.,Watchung Regional,2017,womens-soccer,Dartmouth,Warren,new jersey,
3957,Zainab Bakrin,F,5-4,,Sr.,Brighton,2017,womens-soccer,Dartmouth,Rochester,new york,
3958,Zoe Boocock,MF,5-4,,So.,TC Williams,2017,womens-soccer,Dartmouth,Alexandria,virginia,
3959,Alyssa Neuberger,MF,5-5,,So.,Briarcrest Christian School,2017,womens-soccer,Dartmouth,Germantown,tennessee,
3960,Claire Trop,D,5-6,,Fr.,Lakeside School,2017,womens-soccer,Dartmouth,Seattle,washington,
3961,Lorna McElrath,GK,5-9,,So.,The College Preparatory School,2017,womens-soccer,Dartmouth,Oakland,california,
3962,Mariel Gordon,GK,5-7,,So.,Plano West Sr. High,2018,womens-soccer,Dartmouth,Dallas,texas,
3963,Michael Guptill,MF/F,5-5,,Fr.,Edison,2018,womens-soccer,Dartmouth,Huntington Beach,california,
3964,Lauren Lucas,MF/F,5-4,,Sr.,Providence Day,2018,womens-soccer,Dartmouth,East Charlotte,north carolina,
3965,Sally Sandoval,F,5-4,,Sr.,Westminster,2018,womens-soccer,Dartmouth,Simsbury,connecticut,
3966,Erin Kawakami,MF,5-0,,So.,Palos Verdes Peninsula,2018,womens-soccer,Dartmouth,Palos Verdes Estates,california,
3967,Avery Schuldt,F,5-7,,So.,New Trier High School,2018,womens-soccer,Dartmouth,Wilmette,illinois,
3968,Jaclyn Engel,MF,5-7,,Sr.,Marian,2018,womens-soccer,Dartmouth,Macomb,michigan,
3969,Lorna MacFarlane,MF,5-8,,So.,Friends Central,2018,womens-soccer,Dartmouth,Wynnewood,pennsylvania,
3970,Taylor Olson,MF,5-6,,So.,The Overlake School,2018,womens-soccer,Dartmouth,Kirkland,washington,
3971,Mollie McGorisk,F,5-5,,Jr.,Walled Lake Western,2018,womens-soccer,Dartmouth,Wixom,michigan,
3972,Ellen Pattinson,MF/D,5-7,,Sr.,Roosevelt,2018,womens-soccer,Dartmouth,Seattle,washington,
3973,Maddie Mills,MF/F,5-4,,Fr.,Noble & Greenough,2018,womens-soccer,Dartmouth,Milton,massachusetts,
3974,Hayley Soriano,MF/F,5-7,,Jr.,Bridgewater-Raritan Regional,2018,womens-soccer,Dartmouth,Bridgewater,new jersey,
3975,Mist Grönvold,D/M,5-8,,Fr.,Hamrahlid,2018,womens-soccer,Dartmouth,Reykjavik,Iceland,
3976,Bonnie Shea,D,5-7,,So.,North Atlanta,2018,womens-soccer,Dartmouth,Atlanta,georgia,
3977,Tracey Mills,MF/F,5-7,,Fr.,Potomac School,2018,womens-soccer,Dartmouth,Vienna,virginia,
3978,Charlotte Esty,F,5-4,,Jr.,Pingree School,2018,womens-soccer,Dartmouth,Newbury,massachusetts,
3979,Zoe Enright,F,5-6,,Jr.,Menlo School,2018,womens-soccer,Dartmouth,Hillsborough,california,
3980,Izzy Glennon,F,5-7,,Fr.,North Shore,2018,womens-soccer,Dartmouth,Sea Cliff,new york,
3981,Chloe Conacher,D,5-11,,Sr.,Marin,2018,womens-soccer,Dartmouth,Ross,california,
3982,Remy Borinsky,MF,5-8,,Sr.,Watchung Regional,2018,womens-soccer,Dartmouth,Warren,new jersey,
3983,Kat Grgic,D,5-4,,Fr.,St. Aloysius,2018,womens-soccer,Dartmouth,Mississauga,Ontario,
3984,Zoe Boocock,MF,5-4,,Jr.,TC Williams,2018,womens-soccer,Dartmouth,Alexandria,virginia,
3985,Grace Rorke,MF/D,5-10,,Fr.,Springside Chestnut Hill,2018,womens-soccer,Dartmouth,Philadelphia,pennsylvania,
3986,Alyssa Neuberger,MF,5-5,,Jr.,Briarcrest Christian School,2018,womens-soccer,Dartmouth,Germantown,tennessee,
3987,Lorna McElrath,GK,5-9,,Jr.,The College Preparatory School,2018,womens-soccer,Dartmouth,Oakland,california,
3988,Mariel Gordon,GK,5-7,,Jr.,Plano West Sr. High,2019,womens-soccer,Dartmouth,Dallas,texas,
3989,Michael Guptill,MF/F,5-5,,So.,Edison,2019,womens-soccer,Dartmouth,Huntington Beach,california,
3990,Allie Winstanley,F,5-7,,Fr.,Noble and Greenough,2019,womens-soccer,Dartmouth,Concord,massachusetts,
3991,Relly Ladner,D,5-4,,Fr.,The Baldwin School,2019,womens-soccer,Dartmouth,Wayne,pennsylvania,
3992,Erin Kawakami,MF,5-0,,Jr.,Palos Verdes Peninsula,2019,womens-soccer,Dartmouth,Palos Verdes Estates,california,
3993,Avery Schuldt,F,5-7,,Jr.,New Trier High School,2019,womens-soccer,Dartmouth,Wilmette,illinois,
3994,Juliet Moncho,F,5-7,,Fr.,Casady School,2019,womens-soccer,Dartmouth,Edmond,oklahoma,
3995,Lorna MacFarlane,MF,5-8,,Jr.,Friends Central,2019,womens-soccer,Dartmouth,Wynnewood,pennsylvania,
3996,Taylor Olson,MF,5-6,,Jr.,The Overlake School,2019,womens-soccer,Dartmouth,Kirkland,washington,
3997,Mollie McGorisk,F,5-5,,Sr.,Walled Lake Western,2019,womens-soccer,Dartmouth,Wixom,michigan,
3998,Sophie Pinnie,D,5-5,,Fr.,Academy of Notre Dame De Namur,2019,womens-soccer,Dartmouth,Glen Mills,pennsylvania,
3999,Maddie Mills,MF/F,5-4,,So.,Noble & Greenough,2019,womens-soccer,Dartmouth,Milton,massachusetts,
4000,Hayley Soriano,MF/F,5-7,,Sr.,Bridgewater-Raritan Regional,2019,womens-soccer,Dartmouth,Bridgewater,new jersey,
4001,Mist Grönvold,D/MF,5-8,,So.,Hamrahlid,2019,womens-soccer,Dartmouth,Reykjavik,Iceland,
4002,Lorna McElrath,GK,5-9,,Sr.,The College Preparatory School,2019,womens-soccer,Dartmouth,Oakland,california,
4003,Bonnie Shea,D,5-7,,Jr.,North Atlanta,2019,womens-soccer,Dartmouth,Atlanta,georgia,
4004,Tracey Mills,MF/F,5-7,,So.,Potomac School,2019,womens-soccer,Dartmouth,Vienna,virginia,
4005,Charlotte Esty,F,5-4,,Sr.,Pingree School,2019,womens-soccer,Dartmouth,Newbury,massachusetts,
4006,Zoe Enright,F,5-6,,Sr.,Menlo School,2019,womens-soccer,Dartmouth,Hillsborough,california,
4007,Izzy Glennon,F,5-7,,So.,North Shore,2019,womens-soccer,Dartmouth,Sea Cliff,new york,
4008,Isabella Villaflor,MF,5-9,,Fr.,John Fraser Secondary,2019,womens-soccer,Dartmouth,Mississauga,Ontario,
4009,Ellie Geier,F,5-7,,Fr.,Hinsdale Central,2019,womens-soccer,Dartmouth,Hinsdale,illinois,
4010,Kat Grgic,D,5-4,,So.,St. Aloysius,2019,womens-soccer,Dartmouth,Mississauga,Ontario,
4011,Zoe Boocock,MF,5-4,,Sr.,TC Williams,2019,womens-soccer,Dartmouth,Alexandria,virginia,
4012,Grace Rorke,MF/D,5-10,,So.,Springside Chestnut Hill,2019,womens-soccer,Dartmouth,Philadelphia,pennsylvania,
4013,Alyssa Neuberger,MF,5-5,,Sr.,Briarcrest Christian School,2019,womens-soccer,Dartmouth,Germantown,tennessee,
4014,Charlotte Cyr,GK,5-9,,Fr.,Kingswood-Oxford Wyverns,2019,womens-soccer,Dartmouth,Wethersfield,connecticut,
4015,Mariel Gordon,GK,5-7,,Sr.,Plano West Sr. High,2020,womens-soccer,Dartmouth,Dallas,texas,
4016,Michael Guptill,MF/F,5-5,,Jr.,Edison,2020,womens-soccer,Dartmouth,Huntington Beach,california,
4017,Allie Winstanley,F,5-7,,So.,Noble and Greenough,2020,womens-soccer,Dartmouth,Concord,massachusetts,
4018,Relly Ladner,D,5-4,,So.,The Baldwin School,2020,womens-soccer,Dartmouth,Wayne,pennsylvania,
4019,Erin Kawakami,MF,5-0,,Sr.,Palos Verdes Peninsula,2020,womens-soccer,Dartmouth,Palos Verdes Estates,california,
4020,Avery Schuldt,F,5-7,,Sr.,New Trier High School,2020,womens-soccer,Dartmouth,Wilmette,illinois,
4021,Juliet Moncho,F,5-7,,So.,Casady School,2020,womens-soccer,Dartmouth,Edmond,oklahoma,
4022,Lorna MacFarlane,MF,5-8,,Sr.,Friends Central,2020,womens-soccer,Dartmouth,Wynnewood,pennsylvania,
4023,Taylor Olson,MF,5-6,,Sr.,The Overlake School,2020,womens-soccer,Dartmouth,Kirkland,washington,
4024,Sophie Pinnie,D,5-5,,So.,Academy of Notre Dame De Namur,2020,womens-soccer,Dartmouth,Glen Mills,pennsylvania,
4025,Maddie Mills,MF/F,5-4,,Jr.,Noble & Greenough,2020,womens-soccer,Dartmouth,Milton,massachusetts,
4026,Taylor Williams,D,5-6,,Fr.,Rutgers Prep School,2020,womens-soccer,Dartmouth,Franklin Park,new jersey,
4027,Mist Grönvold,D/MF,5-8,,Jr.,Hamrahlid,2020,womens-soccer,Dartmouth,Reykjavik,Iceland,
4028,Daisy Granholm,F/MF,5-10,,Fr.,Mt. Desert Island,2020,womens-soccer,Dartmouth,Southwest Harbor,maine,
4029,Bonnie Shea,D,5-7,,Sr.,North Atlanta,2020,womens-soccer,Dartmouth,Atlanta,georgia,
4030,Tracey Mills,MF/F,5-7,,Jr.,Potomac School,2020,womens-soccer,Dartmouth,Vienna,virginia,
4031,Grace Faulkner,D,5-8,,Fr.,Barrington,2020,womens-soccer,Dartmouth,Barrington,rhode island,
4032,Aspen Anderson,F/MF,5-5,,Fr.,Fairview,2020,womens-soccer,Dartmouth,Boulder,colorado,
4033,Izzy Glennon,F,5-7,,Jr.,North Shore,2020,womens-soccer,Dartmouth,Sea Cliff,new york,
4034,Isabella Villaflor,MF,5-9,,So.,John Fraser Secondary,2020,womens-soccer,Dartmouth,Mississauga,Ontario,
4035,Ellie Geier,F,5-7,,So.,Hinsdale Central,2020,womens-soccer,Dartmouth,Hinsdale,illinois,
4036,Kat Grgic,D,5-4,,Jr.,St. Aloysius,2020,womens-soccer,Dartmouth,Mississauga,Ontario,
4037,Grace Rorke,MF/D,5-10,,Jr.,Springside Chestnut Hill,2020,womens-soccer,Dartmouth,Philadelphia,pennsylvania,
4038,Carly Retterer,F,5-3,,Fr.,Menlo School,2020,womens-soccer,Dartmouth,Menlo Park,california,
4039,Charlotte Cyr,GK,5-9,,So.,Kingswood-Oxford Wyverns,2020,womens-soccer,Dartmouth,Wethersfield,connecticut,
4040,Emily Hardy,GK,5-8,,Fr.,Phillips Academy,2020,womens-soccer,Dartmouth,Boxford,massachusetts,
4041,Ally Connors,GK,5-9,,Fr.,Stone Ridge School,2021,womens-soccer,Dartmouth,Bethesda,maryland,
4042,Michael Guptill,MF/F,5-5,,Sr.,Edison,2021,womens-soccer,Dartmouth,Huntington Beach,california,
4043,Allie Winstanley,F,5-7,,Jr.,Noble and Greenough,2021,womens-soccer,Dartmouth,Concord,massachusetts,
4044,Relly Ladner,D,5-4,,Jr.,The Baldwin School,2021,womens-soccer,Dartmouth,Wayne,pennsylvania,
4045,Erin Kawakami,MF,5-0,,5th,Palos Verdes Peninsula,2021,womens-soccer,Dartmouth,Palos Verdes Estates,california,
4046,Sydney Brown,MF,5-6,,Fr.,Marlborough School,2021,womens-soccer,Dartmouth,Pacific Palisades,california,
4047,Juliet Moncho,F,5-7,,Jr.,Casady School,2021,womens-soccer,Dartmouth,Edmond,oklahoma,
4048,Danielle Burke,MF/F,5-3,,Fr.,Georgetown Day School,2021,womens-soccer,Dartmouth,Arlington,virginia,
4049,Kellie Sutton,MF,5-5,,Fr.,St. John Bosco,2021,womens-soccer,Dartmouth,Leesburg,virginia,
4050,Aleena Seales,MF,5-4,,Fr.,Northeast Career & Tech Academy,2021,womens-soccer,Dartmouth,Las Vegas,nevada,
4051,Sophie Pinnie,D,5-5,,Jr.,Academy of Notre Dame De Namur,2021,womens-soccer,Dartmouth,Glen Mills,pennsylvania,
4052,Maddie Mills,MF/F,5-4,,Sr.,Noble & Greenough,2021,womens-soccer,Dartmouth,Milton,massachusetts,
4053,Taylor Williams,D,5-6,,So.,Rutgers Prep School,2021,womens-soccer,Dartmouth,Franklin Park,new jersey,
4054,Mist Grönvold,D/MF,5-8,,Sr.,Hamrahlid,2021,womens-soccer,Dartmouth,Reykjavik,Iceland,
4055,Daisy Granholm,F/MF,5-10,,So.,Mt. Desert Island,2021,womens-soccer,Dartmouth,Southwest Harbor,maine,
4056,Dasa Hase,F,5-6,,Fr.,Manchester-Essex Regional,2021,womens-soccer,Dartmouth,Manchester,massachusetts,
4057,Tracey Mills,MF/F,5-7,,Sr.,Potomac School,2021,womens-soccer,Dartmouth,Vienna,virginia,
4058,Grace Faulkner,D,5-8,,So.,Barrington,2021,womens-soccer,Dartmouth,Barrington,rhode island,
4059,Aspen Anderson,F/MF,5-5,,So.,Fairview,2021,womens-soccer,Dartmouth,Boulder,colorado,
4060,Izzy Glennon,F,5-7,,Sr.,North Shore,2021,womens-soccer,Dartmouth,Sea Cliff,new york,
4061,Isabella Villaflor,MF,5-9,,Jr.,John Fraser Secondary,2021,womens-soccer,Dartmouth,Mississauga,Ontario,
4062,Ella Russ,MF/F,5-5,,Fr.,Diocesan School for Girls,2021,womens-soccer,Dartmouth,Auckland,New Zealand,
4063,Kat Grgic,D,5-4,,Sr.,St. Aloysius,2021,womens-soccer,Dartmouth,Mississauga,Ontario,
4064,Hannah Curtin,F,5-6,,Fr.,Winchester,2021,womens-soccer,Dartmouth,Winchester,massachusetts,
4065,Grace Rorke,MF/D,5-10,,Sr.,Springside Chestnut Hill,2021,womens-soccer,Dartmouth,Philadelphia,pennsylvania,
4066,Carly Retterer,F,5-6,,So.,Menlo School,2021,womens-soccer,Dartmouth,Menlo Park,california,
4067,Charlotte Cyr,GK,5-9,,Jr.,Kingswood-Oxford Wyverns,2021,womens-soccer,Dartmouth,Wethersfield,connecticut,
4068,Emily Hardy,GK,5-8,,So.,Phillips Academy,2021,womens-soccer,Dartmouth,Boxford,massachusetts,
4069,Ally Connors,GK,5-9,,So.,Stone Ridge School,2022,womens-soccer,Dartmouth,Bethesda,maryland,
4070,Grace Martin,D,5-8,,Fr.,Marcus High School,2022,womens-soccer,Dartmouth,Flower Mound,texas,
4071,Allie Winstanley,F,5-7,,Sr.,Noble and Greenough,2022,womens-soccer,Dartmouth,Concord,massachusetts,
4072,Relly Ladner,D,5-4,,Sr.,The Baldwin School,2022,womens-soccer,Dartmouth,Wayne,pennsylvania,
4073,Jaidyn Curry,F,5-8,,Fr.,South County High School,2022,womens-soccer,Dartmouth,Lorton,virginia,
4074,Sydney Brown,M,5-6,,So.,Marlborough School,2022,womens-soccer,Dartmouth,Pacific Palisades,california,
4075,Juliet Moncho,F,5-7,,Sr.,Casady School,2022,womens-soccer,Dartmouth,Edmond,oklahoma,
4076,Danielle Burke,M/F,5-3,,So.,Georgetown Day School,2022,womens-soccer,Dartmouth,Arlington,virginia,
4077,Kellie Sutton,M,5-5,,So.,St. John Bosco,2022,womens-soccer,Dartmouth,Leesburg,virginia,
4078,Aleena Seales,M,5-4,,So.,Northeast Career & Tech Academy,2022,womens-soccer,Dartmouth,Las Vegas,nevada,
4079,Sophie Pinnie,D,5-5,,Sr.,Academy of Notre Dame De Namur,2022,womens-soccer,Dartmouth,Glen Mills,pennsylvania,
4080,Carly Retterer,F,5-6,,Jr.,Menlo School,2022,womens-soccer,Dartmouth,Menlo Park,california,
4081,Taylor Williams,D,5-6,,Jr.,Rutgers Prep School,2022,womens-soccer,Dartmouth,Franklin Park,new jersey,
4082,Daisy Granholm,F/M,5-10,,Jr.,Mt. Desert Island,2022,womens-soccer,Dartmouth,Southwest Harbor,maine,
4083,Dasa Hase,F,5-6,,So.,Manchester-Essex Regional,2022,womens-soccer,Dartmouth,Manchester,massachusetts,
4084,Sonoma Adams,D,5-6,,Fr.,St. Anthony's High School,2022,womens-soccer,Dartmouth,Northport,new york,
4085,Grace Faulkner,D,5-8,,Jr.,Barrington,2022,womens-soccer,Dartmouth,Barrington,rhode island,
4086,Aspen Anderson,F/M,5-5,,Jr.,Fairview,2022,womens-soccer,Dartmouth,Boulder,colorado,
4087,Audrey Marin,F,5-7,,Fr.,Amity Regional High School,2022,womens-soccer,Dartmouth,Woodbridge,connecticut,
4088,Isabella Villaflor,M,5-9,,Sr.,John Fraser Secondary,2022,womens-soccer,Dartmouth,Mississauga,Ontario,
4089,Hailey Rorick,M,5-6,,Fr.,Catholic High School,2022,womens-soccer,Dartmouth,Chesapeake,virginia,
4090,Ella Russ,M/F,5-5,,So.,Diocesan School for Girls,2022,womens-soccer,Dartmouth,Auckland,New Zealand,
4091,Mary Lundregan,M,5-3,,Fr.,St. Joseph High School,2022,womens-soccer,Dartmouth,Fairfield,connecticut,
4092,Hannah Curtin,F,5-6,,So.,Winchester,2022,womens-soccer,Dartmouth,Winchester,massachusetts,
4093,Charlotte Cyr,GK,5-9,,Sr.,Kingswood-Oxford Wyverns,2022,womens-soccer,Dartmouth,Wethersfield,connecticut,
4094,Emily Hardy,GK,5-8,,Jr.,Phillips Academy,2022,womens-soccer,Dartmouth,Boxford,massachusetts,
4095,Ally Connors,GK,5-9,,Jr.,Stone Ridge School,2023,womens-soccer,Dartmouth,Bethesda,maryland,
4096,Grace Martin,D,5-8,,So.,Marcus High School,2023,womens-soccer,Dartmouth,Flower Mound,texas,
4097,Carly Fleming,D,5-5,,Fr.,Bishop O'Connell,2023,womens-soccer,Dartmouth,Falls Church,virginia,
4098,Jaidyn Curry,F,5-8,,So.,South County High School,2023,womens-soccer,Dartmouth,Lorton,virginia,
4099,Sydney Brown,M,5-6,,Jr.,Marlborough School,2023,womens-soccer,Dartmouth,Pacific Palisades,california,
4100,Juliet Moncho,D,5-7,,5th,Casady School,2023,womens-soccer,Dartmouth,Edmond,oklahoma,
4101,Danielle Burke,M/F,5-3,,Jr.,Georgetown Day School,2023,womens-soccer,Dartmouth,Arlington,virginia,
4102,Kellie Sutton,M,5-5,,Jr.,St. John Bosco,2023,womens-soccer,Dartmouth,Leesburg,virginia,
4103,Aleena Seales,M,5-4,,Jr.,Northeast Career & Tech Academy,2023,womens-soccer,Dartmouth,Las Vegas,nevada,
4104,Gillian Doogan,F,5-7,,Fr.,Carlsbad,2023,womens-soccer,Dartmouth,Carlsbad,california,
4105,Carly Retterer,F,5-6,,Sr.,Menlo School,2023,womens-soccer,Dartmouth,Menlo Park,california,
4106,Taylor Williams,D,5-6,,Sr.,Rutgers Prep School,2023,womens-soccer,Dartmouth,Franklin Park,new jersey,
4107,Frankie Valverde,M,5-3,,Fr.,Buckingham Browne & Nichols,2023,womens-soccer,Dartmouth,Grafton,massachusetts,
4108,Daisy Granholm,F/M,5-10,,Sr.,Mt. Desert Island,2023,womens-soccer,Dartmouth,Southwest Harbor,maine,
4109,Dasa Hase,F,5-6,,Jr.,Manchester-Essex Regional,2023,womens-soccer,Dartmouth,Manchester,massachusetts,
4110,Sonoma Adams,D,5-6,,So.,St. Anthony's High School,2023,womens-soccer,Dartmouth,Northport,new york,
4111,Grace Faulkner,D,5-8,,Sr.,Barrington,2023,womens-soccer,Dartmouth,Barrington,rhode island,
4112,Aspen Anderson,F/M,5-5,,Sr.,Fairview,2023,womens-soccer,Dartmouth,Boulder,colorado,
4113,Audrey Marin,F,5-7,,So.,Amity Regional High School,2023,womens-soccer,Dartmouth,Woodbridge,connecticut,
4114,Hailey Rorick,M,5-6,,So.,Catholic High School,2023,womens-soccer,Dartmouth,Chesapeake,virginia,
4115,Ella Russ,M/F,5-5,,Jr.,Diocesan School for Girls,2023,womens-soccer,Dartmouth,Auckland,New Zealand,
4116,Mary Lundregan,M,5-3,,So.,St. Joseph High School,2023,womens-soccer,Dartmouth,Fairfield,connecticut,
4117,Hannah Curtin,F,5-6,,Jr.,Winchester,2023,womens-soccer,Dartmouth,Winchester,massachusetts,
4118,Ellie Davidson,D,5-4,,Fr.,Torrey Pines,2023,womens-soccer,Dartmouth,San Diego,california,
4119,Kate Ryan,D,5-7,,Fr.,Ursuline Academy of Dallas,2023,womens-soccer,Dartmouth,Dallas,texas,
4120,Ola Goebel,GK,5-7,,Fr.,Evanston Township,2023,womens-soccer,Dartmouth,Chicago,illinois,
4121,Emily Hardy,GK,5-8,,Sr.,Phillips Academy,2023,womens-soccer,Dartmouth,Boxford,massachusetts,
4122,Katelyn Rogers,MB,-,,Fr., Chaminade College Prep,2010,womens-volleyball,Dartmouth,Simi Valley,california,
4123,Rachel Aragon,OH,-,,Fr., Mayfield School,2010,womens-volleyball,Dartmouth,Whittier,california,
4124,Alissa Santa Maria,S,5-10,,So., El Dorado,2010,womens-volleyball,Dartmouth,Yorba Linda,california,
4125,Lexi Campbell,OH/DS,5-10,,So., Torrey Pines,2010,womens-volleyball,Dartmouth,Solana Beach,california,
4126,Kendall Houston,S,5-9,,Jr., Stephen F. Austin,2010,womens-volleyball,Dartmouth,Austin,texas,
4127,Madeline Baird,OH,6-0,,Jr., Westlake,2010,womens-volleyball,Dartmouth,Austin,texas,
4128,Rose Dicovitsky,RS,6-0,,Fr., Polytechnic,2010,womens-volleyball,Dartmouth,Altadena,california,
4129,Jessica Hartman,DS/L,5-8,,Sr., Crystal Springs Uplands,2010,womens-volleyball,Dartmouth,Woodside,california,
4130,Kelsey Johnson,MB/RS,6-0,,Sr., La Costa Canyon,2010,womens-volleyball,Dartmouth,Carlsbad,california,
4131,Annie Villanueva,MB,6-0,,Jr., Santa Barbara,2010,womens-volleyball,Dartmouth,Santa Barbara,california,
4132,Meghan Cooney,OH,6-0,,Fr., Carondelet,2010,womens-volleyball,Dartmouth,Martinez,california,
4133,Elisa Scudder,MB,6-2,,Fr., Broad Run,2010,womens-volleyball,Dartmouth,Ashburn,virginia,
4134,Amber Bryant,DS/L,5-6,,Jr., Libertyville,2010,womens-volleyball,Dartmouth,Libertyville,illinois,
4135,Vivian Snider,DS,5-9,,Fr., Cheyenne Mountain,2010,womens-volleyball,Dartmouth,Colorado Springs,colorado,
4136,Alex Schoenberger,OH,6-0,,Fr., The Branson School,2011,womens-volleyball,Dartmouth,Corte Madera,california,
4137,Kylie Kufeld,RS,5-11,,Jr., Billings,2011,womens-volleyball,Dartmouth,Billings,montana,
4138,Taylor Bradley,DS,5-10,,Fr., Crystal Springs Uplands School,2011,womens-volleyball,Dartmouth,Hillsborough,california,
4139,Alissa Santa Maria,S,5-10,,Jr., El Dorado,2011,womens-volleyball,Dartmouth,Yorba Linda,california,
4140,Liz Brailsford,OH,5-10,,Fr., Patrick Henry High School,2011,womens-volleyball,Dartmouth,Roanoke,virginia,
4141,Kendall Houston,S,5-9,,Sr., Stephen F. Austin,2011,womens-volleyball,Dartmouth,Austin,texas,
4142,Lucia Pohlman,S,5-11,,Fr., Redwood,2011,womens-volleyball,Dartmouth,Mill Valley,california,
4143,Madeline Baird,OH,6-0,,Sr., Westlake,2011,womens-volleyball,Dartmouth,Austin,texas,
4144,Rose Dicovitsky,RS,6-0,,So., Polytechnic,2011,womens-volleyball,Dartmouth,Altadena,california,
4145,Vivian Snider,DS,5-9,,So., Cheyenne Mountain,2011,womens-volleyball,Dartmouth,Colorado Springs,colorado,
4146,Maura Manley,OH,6-0,,Fr., New Bedford High School,2011,womens-volleyball,Dartmouth,New Bedford,massachusetts,
4147,Annie Villanueva,MB,6-0,,Sr., Santa Barbara,2011,womens-volleyball,Dartmouth,Santa Barbara,california,
4148,Meghan Cooney,OH,6-0,,So., Carondelet,2011,womens-volleyball,Dartmouth,Martinez,california,
4149,Elisa Scudder,MB,6-2,,So., Broad Run,2011,womens-volleyball,Dartmouth,Ashburn,virginia,
4150,Amber Bryant,DS/L,5-6,,Sr., Libertyville,2011,womens-volleyball,Dartmouth,Libertyville,illinois,
4151,Alex Schoenberger,OH,6-0,,So.,The Branson School,2012,womens-volleyball,Dartmouth,Corte Madera,california,
4152,Kylie Kufeld,RS,5-11,,Sr.,Billings,2012,womens-volleyball,Dartmouth,Billings,montana,
4153,Taylor Bradley,DS,5-10,,So.,Crystal Springs Uplands School,2012,womens-volleyball,Dartmouth,Hillsborough,california,
4154,Alissa Santa Maria,S,5-10,,Sr.,El Dorado,2012,womens-volleyball,Dartmouth,Yorba Linda,california,
4155,Holly Harper,DS/L,5-8,,So.,St. Stephen's Episcopal,2012,womens-volleyball,Dartmouth,Austin,texas,
4156,Allison Brady,OH/MH,6-1,,Fr.,Xavier College Prep,2012,womens-volleyball,Dartmouth,Phoenix,arizona,
4157,Lucia Pohlman,S,5-11,,So.,Redwood,2012,womens-volleyball,Dartmouth,Mill Valley,california,
4158,Kayden Cook,S,5-9,,Fr.,Carroll HS,2012,womens-volleyball,Dartmouth,Southlake,texas,
4159,Rose Dicovitsky,RS,6-0,,Jr.,Polytechnic,2012,womens-volleyball,Dartmouth,Altadena,california,
4160,Vivian Snider,DS,5-9,,Jr.,Cheyenne Mountain,2012,womens-volleyball,Dartmouth,Colorado Springs,colorado,
4161,Maura Manley,OH,6-0,,So.,New Bedford High School,2012,womens-volleyball,Dartmouth,New Bedford,massachusetts,
4162,Meghan Cooney,OH,6-0,,Jr.,Carondelet,2012,womens-volleyball,Dartmouth,Martinez,california,
4163,Elisa Scudder,MB,6-2,,Jr.,Broad Run,2012,womens-volleyball,Dartmouth,Ashburn,virginia,
4164,Katie Jarrett,MH,6-0,,Fr.,Orange HS,2012,womens-volleyball,Dartmouth,Pepper Pike,ohio,
4165,Kaira Lujan,MH,6-4,,Fr.,Albuquerque Academy,2012,womens-volleyball,Dartmouth,Santa Fe,new mexico,
4166,Paige Caridi,OH,6-0,,Fr.,Westlake HS,2012,womens-volleyball,Dartmouth,Austin,texas,
4167,Julia Lau,LIB,5-3,,Fr.,Punahou,2013,womens-volleyball,Dartmouth,Honolulu,hawaii,
4168,Alex Schoenberger,OH,6-0,,Jr.,The Branson School,2013,womens-volleyball,Dartmouth,Corte Madera,california,
4169,Berkeley Hall,LIB,5-7,,Sr.,Pembroke,2013,womens-volleyball,Dartmouth,Pembroke,massachusetts,
4170,Emily Patrick,OH,6-0,,Fr.,St. Stephens,2013,womens-volleyball,Dartmouth,Austin,texas,
4171,Danielle Glinka,OH,5-11,,Fr.,Bishop Moore,2013,womens-volleyball,Dartmouth,Orlando,florida,
4172,Holly Harper,DS/L,5-8,,Jr.,St. Stephen's Episcopal,2013,womens-volleyball,Dartmouth,Austin,texas,
4173,Allison Brady,OH/MB,6-0,,So.,Xavier College Prep,2013,womens-volleyball,Dartmouth,Phoenix,arizona,
4174,Lucia Pohlman,OPP,5-11,,Jr.,Redwood,2013,womens-volleyball,Dartmouth,Mill Valley,california,
4175,Kayden Cook,S,5-9,,So.,Carroll HS,2013,womens-volleyball,Dartmouth,Southlake,texas,
4176,Stacey Benton,S,5-7,,Fr.,Snow Canyon/Arcadia,2013,womens-volleyball,Dartmouth,Phoenix,arizona,
4177,Lottie MacAulay,MB,6-1,,Fr.,Mercer Island,2013,womens-volleyball,Dartmouth,Mercer Island,washington,
4178,Maura Manley,OH,6-0,,Jr.,New Bedford High School,2013,womens-volleyball,Dartmouth,New Bedford,massachusetts,
4179,Emily Astarita,OPP,5-11,,Fr.,Ward Melville,2013,womens-volleyball,Dartmouth,Setauket,new york,
